"GeneID","trtsCHBroca","trtsCHCaudate","trtsCHCerebellum","trtsCHPrefrontal","trtsHUBroca","trtsHUCaudate","trtsHUCerebellum","trtsHUPrefrontal","ChVsHu","CeVsBr","Interact","p ChVsHu","p CeVsBr","p Interact","adjp ChVsHu","adjp CeVsBr","adjp Interact"
"1024_at","6.30632162284744","6.29875485160737","6.31647327577919","6.33537084906119","6.18808169394029","6.28035707139847","6.20929256698538","6.15947226362029","0.104929250837693","0.0156812629884193","-0.0110592201133493","0.211437701874987","0.765285315709323","0.916077848816682","1","1","1"
"1025_g_at","5.1548986367842","5.10701161395643","5.05525852331137","5.16212871182268","5.0585394589843","5.12358546154356","4.95433896791633","4.94419673660769","0.0996592152056972","-0.101920302270402","0.0045603775951335","0.219722462430617","0.0551001946143848","0.964182017291467","1","0.348669843713744","1"
"1026_s_at","7.45405078852148","7.59600277212796","7.49117301454879","7.50326855582653","7.50892146944333","7.47595175362776","7.44943693274093","7.30324230945138","0.0767356664403378","-0.0111811553375443","0.09660676272971","0.416589501331163","0.851451635410741","0.421971984420336","1","1","1"
"1027_at","5.67997625735766","5.74208481225937","5.56310311592081","5.70335675478734","5.55289357647917","5.48606736902982","5.60817255819345","5.47070241509911","0.142671255380904","-0.0307970798612831","-0.172152123151124","0.0388814970199182","0.463467752564202","0.0492622044771584","0.729389152862507","1","1"
"1028_at","5.58557431196346","5.52905962726874","5.62248862077936","5.65971189044591","5.49544600729889","5.4873072973815","5.62446910060204","5.43634234850761","0.0883174241668585","0.0829687010595266","-0.0921087844872597","0.29766576785878","0.130173931775131","0.391807579022415","1","0.694218201349351","1"
"1029_s_at","3.9654333772998","3.78079217093303","3.887852689751","3.85057400496434","3.87777421071441","3.94946892819708","3.77557105915218","3.74759407014636","0.0335609936845325","-0.0898919195555177","0.0246224640134383","0.726449723965011","0.150838710803395","0.840154604593869","1","0.777281111793003","1"
"103_at","6.13589742548043","6.11038501686945","5.98822517311527","6.04994390973664","6.40398318489407","6.76316368315713","5.90696181123042","6.5432531752027","-0.333227582320634","-0.322346813014401","0.349349121298492","0.0056554121351931","0.000128244749279841","0.0191981279412534","0.218124984338532","0.00191759568850137","0.927751688338347"
"1030_s_at","7.61136162554387","7.73039242687015","7.96916739411502","7.66243844462485","7.39791555161129","7.47995614632786","7.89603258937769","7.54800585874883","0.16286243627206","0.427961403168779","-0.140311269195255","0.0774697040282922","1.6688691396749e-07","0.223031603762001","1","5.60855533852588e-06","1"
"1031_at","5.47497170447525","5.32336463123222","5.32529116319432","5.44381887799319","5.24193563698738","4.98475005596217","5.49942281628411","5.30141270831193","0.134981289837349","0.0539033190079006","-0.407167720577674","0.360437212452687","0.563981415973405","0.0380493231667779","1","1","1"
"1032_at","7.76914398999978","7.80489403747834","7.80606223078411","7.8059533351149","7.73150128553495","7.80472554049804","7.92447904775016","7.73162013187863","-0.00156810307116251","0.114948001499765","-0.156059521430886","0.983820647542602","0.0279405355265092","0.123828345606427","1","0.199330906586276","1"
